crash_unit_id,crash_record_id,crash_date_left,unit_no,unit_type,num_passengers,vehicle_id,cmrc_veh_i,make,model,lic_plate_state,vehicle_year,vehicle_defect,vehicle_type,vehicle_use,travel_direction,maneuver,towed_i,fire_i,occupant_cnt,towed_by,towed_to,area_00_i,area_01_i,area_02_i,area_03_i,area_04_i,area_05_i,area_06_i,area_07_i,area_08_i,area_09_i,area_10_i,area_11_i,area_12_i,area_99_i,first_contact_point,cmv_id,usdot_no,commercial_src,gvwr,carrier_name,carrier_state,carrier_city,hazmat_placards_i,hazmat_present_i,hazmat_report_i,mcs_report_i,hazmat_vio_cause_crash_i,mcs_vio_cause_crash_i,idot_permit_no,trailer1_width,trailer2_width,trailer1_length,axle_cnt,vehicle_config,cargo_body_type,load_type,hazmat_out_of_service_i,mcs_out_of_service_i,hazmat_class,crash_date_est_i,crash_date_right,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,crash_type,intersection_related_i,private_property_i,hit_and_run_i,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,photos_taken_i,statements_taken_i,dooring_i,work_zone_i,work_zone_type,workers_present_i,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location
2066631,dd6b1713aa86993a306aa77b8c62f50497c1bf4256bde4d78750aac8826a60996dfabe4d07655416354ec9f5cbc7e9f60e966f4a019682a056c6137bd6c7c88f,2025-05-19T22:30:00.000,1,DRIVER,,1970041.0,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,S,STRAIGHT AHEAD,,,1.0,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:30:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",2025-05-19T23:00:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,3820,S,EMERALD AVE,915,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,41.8246364345,-87.6448928301,POINT (-87.644892830099 41.824636434461)
2066632,dd6b1713aa86993a306aa77b8c62f50497c1bf4256bde4d78750aac8826a60996dfabe4d07655416354ec9f5cbc7e9f60e966f4a019682a056c6137bd6c7c88f,2025-05-19T22:30:00.000,2,DRIVER,1.0,1970043.0,,TOYOTA,RAV4,IL,2019.0,UNKNOWN,PASSENGER,PERSONAL,S,OTHER,,,2.0,,,,,,,,,,,,Y,Y,Y,,,SIDE-LEFT-FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:30:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",2025-05-19T23:00:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,3820,S,EMERALD AVE,915,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,41.8246364345,-87.6448928301,POINT (-87.644892830099 41.824636434461)
2066641,7ddf7597298cc8b3fdf5c7c6572230b20db833676c3706fc0a0d39b3ef8bd7f03d75a799ca5a2a12dccdfb96a9ee769b07ee294a2735a942b7c0bea80f28df3e,2025-05-19T22:20:00.000,1,DRIVER,,1970050.0,,HYUNDAI,SANTA FE,IN,2025.0,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,STRAIGHT AHEAD,Y,,1.0,STREETS AND SANS.,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:20:00.000,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",2025-05-19T22:26:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,1101,S,CLARK ST,123,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,2,5,41.869061875,-87.6303292362,POINT (-87.630329236156 41.869061875013)
2066642,7ddf7597298cc8b3fdf5c7c6572230b20db833676c3706fc0a0d39b3ef8bd7f03d75a799ca5a2a12dccdfb96a9ee769b07ee294a2735a942b7c0bea80f28df3e,2025-05-19T22:20:00.000,2,DRIVER,,1970054.0,,HYUNDAI,SANTA FE,IL,2018.0,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,OTHER,,,1.0,,,,Y,Y,Y,Y,Y,,,,,,,,,REAR-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:20:00.000,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",2025-05-19T22:26:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,1101,S,CLARK ST,123,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,2,5,41.869061875,-87.6303292362,POINT (-87.630329236156 41.869061875013)
2066621,75803ad37b35dbe11edcc96a95a4534ba454e08e298c23225ad1a7ef5fc3142b57d9531a097b9535fd2e905f788edf4995ca411566d8da7468096cd7fb887a89,2025-05-19T22:09:00.000,1,DRIVER,,1970033.0,,TOYOTA,COROLLA,IL,2008.0,UNKNOWN,PASSENGER,UNKNOWN/NA,W,STRAIGHT AHEAD,Y,,1.0,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:09:00.000,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-05-19T22:09:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4800,S,MICHIGAN AVE,224,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,2,5,41.8073730019,-87.6229305547,POINT (-87.622930554709 41.807373001937)
2066622,75803ad37b35dbe11edcc96a95a4534ba454e08e298c23225ad1a7ef5fc3142b57d9531a097b9535fd2e905f788edf4995ca411566d8da7468096cd7fb887a89,2025-05-19T22:09:00.000,2,DRIVER,,1970038.0,,ACURA,TLX,IL,2007.0,UNKNOWN,PASSENGER,UNKNOWN/NA,S,STRAIGHT AHEAD,Y,,1.0,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:09:00.000,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-05-19T22:09:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4800,S,MICHIGAN AVE,224,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,2,5,41.8073730019,-87.6229305547,POINT (-87.622930554709 41.807373001937)
2066635,37a886eb8ed8a34dd40db9b0e3720ba950f90c59e1c4b1322adeda1710a75e1dcf9df369c3775cc100fd37c43b185794868d188dbb12664c8aaf82bddacdb4f1,2025-05-19T22:00:00.000,1,DRIVER,,1970046.0,,TOYOTA,COROLLA,IL,2005.0,UNKNOWN,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,,,1.0,,,,,,Y,Y,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:00:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-05-19T23:15:00.000,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,6935,N,SHERIDAN RD,2431,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,42.0078836441,-87.6615096163,POINT (-87.661509616323 42.007883644073)
2066636,37a886eb8ed8a34dd40db9b0e3720ba950f90c59e1c4b1322adeda1710a75e1dcf9df369c3775cc100fd37c43b185794868d188dbb12664c8aaf82bddacdb4f1,2025-05-19T22:00:00.000,2,DRIVER,1.0,1970048.0,,AUDI,A6,OH,2018.0,NONE,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,Y,,2.0,private tow,private garage,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:00:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-05-19T23:15:00.000,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,6935,N,SHERIDAN RD,2431,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,42.0078836441,-87.6615096163,POINT (-87.661509616323 42.007883644073)
2066623,aba761896d9a2dc9931d73b7870070081116754a61f545bd063b37cb9ebbcf5fc87ec9ce957365d8f8e9bafb25fbd568e77a134416752bd0188aed55eb6bf2c7,2025-05-19T22:00:00.000,1,DRIVER,,1970032.0,,FORD,TRANSIT,IL,2016.0,UNKNOWN,VAN/MINI-VAN,PERSONAL,E,PASSING/OVERTAKING,,,1.0,,,,N,N,Y,Y,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:00:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",2025-05-19T22:03:00.000,IMPROPER OVERTAKING/PASSING,DRIVING ON WRONG SIDE/WRONG WAY,4602,W,55TH ST,815,,Y,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,41.7931797882,-87.7381405715,POINT (-87.73814057152 41.793179788213)
2066624,aba761896d9a2dc9931d73b7870070081116754a61f545bd063b37cb9ebbcf5fc87ec9ce957365d8f8e9bafb25fbd568e77a134416752bd0188aed55eb6bf2c7,2025-05-19T22:00:00.000,2,DRIVER,1.0,1970035.0,,CHRYSLER,TOWN & COUNTRY,IL,2014.0,UNKNOWN,VAN/MINI-VAN,TAXI/FOR HIRE,E,STRAIGHT AHEAD,,,2.0,,,,,,,,,,,,,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:00:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",2025-05-19T22:03:00.000,IMPROPER OVERTAKING/PASSING,DRIVING ON WRONG SIDE/WRONG WAY,4602,W,55TH ST,815,,Y,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,2,5,41.7931797882,-87.7381405715,POINT (-87.73814057152 41.793179788213)
2066609,20748e4bce5faca0175fe691be475ea55a394152ddb3846b186f562346d699aebb1f9720d852066cffb6155e4e8a598023021e64deb7ee2a9dd016a51f79905b,2025-05-19T21:50:00.000,1,DRIVER,,1970018.0,,CHEVROLET,OTHER (EXPLAIN IN NARRATIVE),IL,2006.0,UNKNOWN,PASSENGER,UNKNOWN/NA,W,STRAIGHT AHEAD,,,1.0,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T21:50:00.000,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",2025-05-19T22:00:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,3900,W,PETERSON AVE,1711,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,2,5,41.9902720886,-87.7265346775,POINT (-87.726534677513 41.990272088618)
